GameId,Role,PitcherHandedness,Delivery,ReleaseSpeed,ZoneSpeed,PitchVerticalApproachAngle,ReleaseExtension,ReleaseHeight,ReleaseSide,ArmAngleBR,ArmSlotBR,StrideLength,StrideLengthPercentHeight,StrideWidth,TimeToPlate,PeakHipsVeloX,PeakPitchHandVeloX,DLHipRotMin,HSSepMin,PARotMax,PAScapRetMin,SLKneeFlexFP,PAElbowFlexBR,SLKneeFlexBR,TorsoFBBR,TorsoSBBR,PeakMomDL,PeakMomSL,PeakMomTorso,PeakMomLFA,PeakMomLUA,PeakMomPFA,PeakMomPUA,PeakMomTotalBody,PeakMomTimeDL,PeakMomTimeSL,PeakMomTimeTorso,PeakMomTimeLFA,PeakMomTimeLUA,PeakMomTimePFA,PeakMomTimePUA,PeakMomTimeTotalBody,PeakPelvisRotVelo,PeakPelvisRotVeloTime,PeakChestRotVelo,PeakChestRotVeloTime,PeakElbowExtVelo,PeakElbowExtVeloTime,PeakShoulderIRVelo,PeakShoulderIRVeloTime,PelvisChestPeakTimeDiff,PeakSLKneeExtVelo,ClosingSpeed,ClosingTime,TimeFirstMove,TimeHandSeparation,TimePeakKneeLift,TimeFootPlant,TimeMER,PitchType,SpinRate,SpinDirection,InducedVertBreak,SpinEfficiency,PitchCount
717247,Pitcher,R,WU,92.88359833,85.35816193,-5.264019966,7.200282574,5.688469887,-1.323009968,104.8995901,45.48252988,6.234744178,0.959191412,0.4805823,1.794048396,9.999728298,74.48892608,-57.70438553,-59.43696233,184.867034,-26.45951437,33.55842786,46.15672928,61.82913085,35.01474372,-19.80371624,59.07681793,65.50538629,178.4742953,14.58902915,20.87926112,25.94062868,33.36480465,316.155373,-0.2250821,-0.2784111,-0.0717611,-0.1184241,-0.1150911,-0.0051001,-0.0517631,-0.0784271,580.1341917,-0.1384221,1051.790412,-0.0984261,1551.117321,-0.0084331,2739.6318,0.0148979,0.039996,-95.43160323,519.2371253,0.136655,-1.3783191,-0.4983921,-0.8416971,-0.1517551,-0.0317651,FB,2010.934814,198.2740021,15.2379055,0.981799519,1
716775,Pitcher,R,WU,92.16249847,82.67871094,-5.507390022,7.07460165,5.785970211,-1.855250001,97.73570362,45.76959712,5.785253761,0.89003904,0.45735688,1.727100225,9.242676199,73.8005524,-57.27692746,-57.58263545,183.7568543,-48.68977184,36.3998287,48.95699356,63.96183346,33.84585302,-20.06150975,58.73593614,61.77362393,156.9407739,14.07944312,19.89142565,25.07693988,32.90458254,301.0554151,-0.1987221,-0.4220371,-0.1253951,-0.1487261,-0.1187291,-0.0020711,-0.0487341,-0.1353941,496.1751751,-0.1587251,1027.137579,-0.1020631,1415.41866,-0.0120711,3244.898378,0.0112609,0.056662,-83.25947384,466.4478769,0.143322,-1.3019651,-0.5320281,-0.8020061,-0.1553921,-0.0354021,FB,1991.65625,186.0200043,18.17252111,0.969281023,1
716858,Pitcher,R,WU,82.71579742,76.27000427,-6.89921999,6.584418774,5.632180214,-2.293649912,93.59518843,34.56634033,5.76370674,0.886724114,0.511940845,1.686830846,8.663260923,73.84406985,-50.01134392,-58.60004161,177.1950478,-37.92366823,45.69310677,47.20784389,56.65046379,33.56413605,-20.9710019,55.02245434,63.3802613,145.4381704,13.71916394,19.65926281,25.66837573,32.65376849,294.8299383,-0.1569306,-0.3769106,-0.1502646,-0.1669296,-0.1102686,-0.0102776,-0.0502736,-0.1602636,530.2170306,-0.1969266,1030.521089,-0.1002696,1444.905634,-0.0169436,2843.902854,0.0097204,0.096657,-111.2036356,488.4953514,0.149986,-1.2201656,-0.5235636,-0.7735396,-0.0869366,-0.0369416,NA,2211.644287,134.322998,9.893006086,0.381183222,1
717247,Pitcher,R,WU,83.11979675,75.65532684,-5.242809772,6.893003941,5.592720032,-1.730769992,96.38836938,36.80443191,5.957531495,0.916543307,0.511138887,1.815403289,9.055229468,74.06912143,-57.96297028,-55.06589494,178.8784539,-32.90019998,54.9580791,41.58263062,58.93477231,33.62247076,-21.62981835,60.76491185,62.61039961,168.4215155,13.16954847,19.43490264,25.2445048,33.29859534,302.0473328,-0.211766,-0.388417,-0.071779,-0.115108,-0.115108,-0.008451,-0.055113,-0.078445,633.6415878,-0.131773,1075.25976,-0.098443,1429.031908,-0.011784,3225.62309,0.011547,0.03333,-219.7776201,539.6133735,0.136654,-1.348332,-0.498408,-0.821712,-0.078445,-0.035115,SL,2233.34375,122.0360031,9.656799316,0.366565609,2
716775,Pitcher,R,WU,82.49289703,74.39763641,-7.735990047,6.785693645,5.606389999,-2.274049997,93.81217267,34.55765427,5.656930436,0.87029699,0.56898241,1.739589386,8.495374009,73.05945467,-57.10648195,-49.45899384,179.5674835,-31.85486788,36.9419693,45.59420398,61.48520553,33.5930856,-22.58420857,56.90302345,61.47194004,158.7175136,13.3881082,18.68358479,25.10219672,32.33121109,303.5959534,-0.1585505,-0.3685105,-0.1318895,-0.1618835,-0.1218915,-0.0152455,-0.0485725,-0.1385545,582.870626,-0.1285565,1001.115499,-0.1052275,1396.443455,-0.0152455,2964.765619,0.0114165,0.023329,-37.58138377,439.2428967,0.14997,-1.2650025,-0.5351445,-0.7817635,-0.1452205,-0.0385745,SL,2300.342041,114.5800018,7.594166279,0.465045131,2
717103,Pitcher,R,WU,83.57250214,77.62773895,-6.383780003,6.715176582,5.537529945,-1.768470049,95.53704653,33.78033834,5.973094041,0.918937545,0.4265907,1.722516437,9.203898047,74.07143915,-57.24386401,-56.70501315,177.8666842,-39.0299322,34.5513488,45.16856258,54.94841711,34.24427088,-18.53671069,58.23546193,66.55421707,161.3361126,13.86283486,19.72341822,25.60816816,33.8832836,318.6076229,-0.146354,-0.309674,-0.139688,-0.15302,-0.113024,-0.013032,-0.049696,-0.143021,447.1907508,-0.116357,1086.533015,-0.096358,1537.151051,-0.009699,3252.122168,0.010299,0.019999,-176.2160835,490.1386209,0.146654,-1.262926,-0.482992,-0.759635,-0.139688,-0.03303,SL,2203.664307,149.4450073,8.884222984,0.365718061,1
716858,Pitcher,R,WU,82.38960266,75.73551941,-6.590040207,6.489121437,5.615459919,-2.492850065,95.25669919,34.46814256,5.592103657,0.860323639,0.799511302,1.7503474,8.442085259,73.44940976,-56.79599059,-60.24179014,179.0031115,-46.52949193,44.93216896,45.16833394,60.29549309,34.20695318,-21.6012276,54.59113526,57.45902529,150.8180518,13.67747428,19.92394255,25.1621364,32.96844228,291.3655505,-0.1510042,-0.3876492,-0.1076752,-0.1610032,-0.1110082,-0.0110172,-0.0510132,-0.1576702,568.5945549,-0.1210072,1064.510783,-0.1010092,1516.392998,-0.0176832,3105.177061,0.0089808,0.019998,-104.7366278,530.5852862,0.14332,-1.2809022,-0.5143052,-0.7942792,-0.0943432,-0.0343482,SL,2341.726563,128.3939972,10.43074751,0.409408432,2
717247,Pitcher,R,WU,82.58799744,75.51966858,-5.776100159,6.726858139,5.628310204,-1.863639951,94.44723373,35.88577802,5.923731072,0.911343242,0.709972158,1.772140055,9.050213239,72.71409153,-57.41373305,-57.83713592,179.8042576,-29.76630125,55.4205488,48.07567874,57.4342926,34.20024245,-20.01629906,61.3562356,65.00361733,160.5917841,13.18134897,19.38404611,24.99932432,33.20270677,302.5325483,-0.2234503,-0.3934293,-0.1367953,-0.1201303,-0.1167973,-0.0134773,-0.0534723,-0.1434613,642.1120769,-0.1367953,1089.462573,-0.1034663,1436.150029,-0.0134773,2955.357349,0.0098527,0.033329,-115.1736969,541.1205957,0.13665,-1.3033133,-0.5000823,-0.8000443,-0.0701373,-0.0368073,SL,2183.085693,129.8130035,11.67338133,0.395803782,3
717299,Pitcher,R,WU,91.37870026,83.6682663,-3.701649904,6.875530243,5.664760113,-1.378970027,97.11465871,42.40858021,6.060844222,0.932437573,0.405218094,1.779110037,9.475444867,73.16920567,-57.30831032,-57.5579262,184.3333988,-34.44357174,38.29864847,49.58068338,60.39816247,33.12025444,-20.74944536,61.31737546,60.14286231,161.5467418,13.64554268,20.43382268,25.18617515,33.3088308,313.5633394,-0.2057844,-0.2891104,-0.1357904,-0.1191254,-0.1191254,-0.0124674,-0.0457974,-0.1391234,456.3715786,-0.1191254,1045.288974,-0.1091254,1554.703469,-0.0091344,3038.282142,0.0141976,0.01,-92.18026246,477.177261,0.15332,-1.3556874,-0.5090924,-0.8357314,-0.1357904,-0.0357984,FB,2106.927734,200.2899933,18.23948336,0.967735036,1
717442,Pitcher,R,WU,94.79799652,86.01519775,-4.854330063,7.120857716,5.657239914,-1.327669978,93.61017158,39.36848521,6.122092819,0.941860434,0.386986322,1.692898862,9.173078429,75.84052214,-55.10594783,-58.80785834,181.659823,-31.51237581,48.60318843,49.59411123,48.48136105,35.0408764,-20.34732762,55.26741697,63.74654954,160.5673489,13.68287043,20.53609725,25.27824493,33.54865339,301.066706,-0.2025211,-0.3591731,-0.1225281,-0.1158621,-0.1125291,-0.0058721,-0.0492011,-0.1358601,506.9526672,-0.1258611,1048.236004,-0.0991971,1541.809433,-0.0058721,3254.025953,0.0141259,0.026664,-117.2398874,483.7745433,0.146653,-1.2824261,-0.4824951,-0.8091331,-0.0891981,-0.0325361,FB,2181.84668,192.0019989,15.46221542,0.946545551,1
